	Arg	gold
3081	support	support
3082	support efforts investigate 🔺 animal source new coronavirus 2019-ncov	suspected case 2019 novel coronavirus
3083	suppress happening	suppress happening
3084	suppress news even arresting peop	suppress news even arresting peop
3085	sure * checks list * counter cold meds	sure * checks list * counter cold meds
3086	sure i 'm traveling mask bc coronavirus i 😖	sure i 'm traveling mask bc coronavirus i 😖
3087	sure know importance	sure know importance
3088	surge keyw	surge keyw
3089	surgeon gene	black doctor
3090	survive 28 days surfaces	survive 28 days surfaces
3091	susan gutierrez whose husband died sickened last fall 's east texas state f	susan gutierrez whose husband died sickened last fall 's east texas state f
3092	suspect	suspect
3093	suspected case	suspected case
3094	suspected case 2019 novel coronavirus	suspected case 2019 novel coronavirus
3095	suspected case 2019 novel coronavirus patient	suspected case 2019 novel coronavirus
3096	suspected case coronavirus	suspected case coronavirus
3097	suspected case novel coronavirus 2019-ncov	suspected case 2019 novel coronavirus
3098	suspected case wuhan coronavirus	suspected case wuhan coronavirus
3099	suspected cases	suspected cases
3100	suspected coronavirus	suspected case coronavirus
3101	suspected coronavirus case texas	suspected case coronavirus
3102	suspected texas case 2019 novel coronavirus patient	suspected case coronavirus
3103	suspend imports ukrainian poultry	suspend imports ukrainian poultry
3104	suspend public transportat	suspend public transportat
3105	suspend public transportation cl	suspend public transportat
3106	suspend senateimpeachmenttrial	new senate
3107	suspension bus rail systems	suspension bus rail systems
3108	suspension bus rail systems encouraged people	suspension bus rail systems
3109	sweeping dust smoke	sweeping dust smoke
3110	swine flu travel restrictions	swine flu travel restrictions
3111	sydney	sydney
3112	sympathy people affected racist hysterical co	sympathy people affected racist hysterical co
3113	symptom	symptom
3114	symptoms deadly wuhan coronavirus	symptoms deadly wuhan coronavirus
3115	symptoms j	signs symptoms
3116	system	system
3117	system collapsing 5 years ago	system collapsing 5 years ago
3118	system less th	system
3119	t	t
3120	ta love russia issues travel ban province mandatory screenings cdc sits ass	ta love russia issues travel ban province mandatory screenings cdc sits ass
3121	tabulated epidemiological data	tabulated epidemiological data
3122	tackle sars	sars
3123	taipei reuters - foxconn key supplier apple	taipei reuters - foxconn key supplier apple
3124	taiwan	china
3125	taiwan participate may 2020	taiwan participate may 2020
3126	taiwan ’s participation world health assembly years	taiwan ’s participation world health assembly years
3127	take	take
3128	take cab	take cab
3129	taking measures prevent spread new coronavirus originated	contain coronavirus
3130	taking special precautions	precautions
3131	taking ‘ war - time measures ’ ... that included return china ’s familiar heavy - hand	taking ‘ war - time measures ’ ... that included return china ’s familiar heavy - hand
3132	tale pri	tale pri
3133	talk about	talk about
3134	talking about the cdc	cdc
3135	tax dollars	gov
3136	tbi injuries	tbi injuries
3137	team	team
3138	team altered major	major
3139	techniques tackle vaping epidemic	look techniques tackle vaping epidemic
3140	tedros adhanom ghebreyesus phd director - general	tedros adhanom ghebreyesus phd director - general
3141	temp	temp
3142	temperature	temp
3143	temperature check	temperature check
3144	temperatures checked wit	temperature check
3145	tents space extending	facility
3146	test another vaccine think ebola	test another vaccine think ebola
3147	test scale strategies protect people fro	test scale strategies protect people fro
3148	test wuhan coronavirus	suspected case wuhan coronavirus
3149	testament	holy communion
3150	texas	texas
3151	texas officials	county texas
3152	th	th
3153	thailand japan south korea	vietnam
3154	thank @hawaiianair	thank @hawaiianair
3155	thank researchers health	thank researchers health
3156	that	it
3157	that i 'm trying make po	that i 'm trying make po
3158	that linkedin brand guy	that linkedin brand guy
3159	that linkedin brand guy giving virus long unwieldy official name offi some additional info i tweeted earlier week	that linkedin brand guy giving virus long unwieldy official name offi some additional info i tweeted earlier week
3160	that tb epidemic real nai niggas 1720s	that tb epidemic real nai niggas 1720s
3161	that wuhan known 九省通衢 ' thoroughfare nine provinces '	that wuhan known 九省通衢 ' thoroughfare nine provinces '
3162	thc vape products	thc vape products
3163	thc vape products play ‘ major role ’ evali joanne cachapero via mg magazine – cannabis news in	thc vape products
3164	the	the
3165	the 1a	the
3166	the 2019-ncov outbreak	coronavirus ncov
3167	the 3rd annual opioid epidemic awareness fundraiser	combating opioid crisis one top priorities
3168	the @brazoscohd	the @brazoscohd
3169	the @cdc	cdc
3170	the @cdcgov	@cdcgov
3171	the @cdcgov centerfordiseasecontrol	cdc
3172	the @kychamber	@kokomothegreat
3173	the @lbhealthdept	the @lbhealthdept
3174	the @surgeon_general	the @surgeon_general
3175	the @surgeon_general new report	the @surgeon_general new report
3176	the @surgeon_general new report smoking cessation resources	new report smoking cessation
3177	the @who	the @who
3178	the @who believes spread new ncov coronavirus sustained	spread new ncov coronavirus sustained would make difficult stop
3179	the administrative state	the administrative state
3180	the alternative potentially deal global epidemic	of epidemic that could kill over 30 million people
3181	the authorities china	chinese authorities
3182	the bats	bat
3183	the boston globe ’s famous spotlight team	the boston globe ’s famous spotlight team
3184	the brazos county health district	county health district
3185	the brazos county health district investigating suspected case 2019 novel coronavirus	contracting deadly coronavirus quarantined brazos county
3186	the brazos county health district texas	county health district
3187	the ccp	the ccp
3188	the cdc	cdc
3189	the cdc expanding coronavirus	coronavirus
3190	the cdc issued level 3 travel warning	the cdc issued level 3 travel warning
3191	the centers disease control prevention	center disease control
3192	the centers disease control prevention cdc	center disease control
3193	the chicoms	the chicoms
3194	the chinese	chinese people
3195	the chinese communist party	chinese authorities
3196	the chinese governement	chinese authorities
3197	the chinese government	chinese authorities
3198	the chinese government point	chinese authorities
3199	the city east	the city east
3200	the civets	the civets
3201	the cn gov	chinese authorities
3202	the contestant jeopardy	the contestant jeopardy
3203	the coronavirus cdc	coronavirus
3204	the coronavirus outbreak	coronavirus
3205	the coronavirus “ not international public health emergency	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
3206	the coronavirusoutbreak	coronavirusoutbreak
3207	the coronovirus	1000 coronovirus patient
3208	the crisis videos	shock videos
3209	the deadly new coronavirus	coronavirus
3210	the death toll coronavirus outbreak china	wuhan coronavirus
3211	the department health	health officials
3212	the drug targets	the drug targets
3213	the early calls ban travel outbreak area	outbreak airports around world
3214	the emergency committee	committee
3215	the emergency committee new coronavirus	coronavirus
3216	the fact	the fact
3217	the fact sheet	the fact sheet
3218	the failing cdc terrible job new acting director	cdc
3219	the first case	first case
3220	the first case 2019 novel coronavirus	suspected case 2019 novel coronavirus
3221	the first case coronavirus confirmed united states	coronavirus confirmed us case
3222	the first case deadly virus	the first case deadly virus
3223	the first case novel coronavirus	coronavirus confirmed us case
3224	the first case novel coronavirus sickened	coronavirus confirmed us case
3225	the first case of the chinese coronavirus	suspected case wuhan coronavirus
3226	the first case usa	the first case usa
3227	the first case wuhan coronavirus america	suspected case wuhan coronavirus
3228	the first u.s . case 2019 novel coronavirus	suspected case 2019 novel coronavirus
3229	the first u.s . case wuhan coronavirus	suspected case wuhan coronavirus
3230	the flyer	the flyer
3231	the front page people ’s daily	the front page people ’s daily
3232	the gayness	the gayness
3233	the general - director world health organization	global health
3234	the global count	the global count
3235	the good news china coronavirus outbreak	wuhan coronavirus
3236	the good thing	the good thing
3237	the government	gov
3238	the hong kong government official	the hong kong government official
3239	the hospitals	hospitals
3240	the impeachedforlife moron	impeachment proceedings
3241	the important thing	the important thing
3242	the latest data	the latest data
3243	the latest flusight forecast	the latest flusight forecast
3244	the link	the link
3245	the lunarnewyear holiday china	chinese new year
3246	the main character 1918 influenza novel	the main character 1918 influenza novel
3247	the man	the man
3248	the meat market	animal markets
3249	the mission	the mission
3250	the morning news taiwan	the morning news taiwan
3251	the myth sickle cell disease scd	the myth sickle cell disease scd affects african americans
3252	the myth sickle cell disease scd affects african americans	the myth sickle cell disease scd affects african americans
3253	the new coronavirus	coronavirus
3254	the new coronavirus wuhan flies	wuhan coronavirus
3255	the new virus	virus
3256	the new virus spreading worldwide	coronavirus
3257	the number fatal heroin fentanyl overdoses san francisco doubled 2019	deadly fentanyl overdoses
3258	the nyc yellow fever epidemic - 1795 1804 historical hatshead	that tb epidemic real nai niggas 1720s
3259	the outbreak coronavirus china	wuhan coronavirus
3260	the outspoken prof . guan yi hku	the outspoken prof . guan yi hku
3261	the overall decline smoking past 6 years new zealand youth	the overall decline smoking past 6 years new zealand youth
3262	the patent virus attenuation process	the patent virus attenuation process
3263	the patient	the patient
3264	the person	who
3265	the plot	the plot
3266	the real umbrella corp wuhan ultra biohazard lab	the real umbrella corp wuhan ultra biohazard lab
3267	the regular flu	dyk flu virus
3268	the reproductive rate virus — number people ave	the reproductive rate virus — number people ave
3269	the risk low residents	the risk low residents
3270	the sars outbreak	sars
3271	the sars virus	sars
3272	the scarier thing	the scarier thing
3273	the second chinese city go lockdown control	3 chinese cities lockdown curb
3274	the speed virus	virus
3275	the speed virus identified testament	virus
3276	the spread of wuhan coronavirus	wuhan coronavirus
3277	the supreme court	the supreme court
3278	the train station	the train station
3279	the travel restrictions imposed	travel ban
3280	the true sc	the true sc
3281	the u.s .	the u.s .
3282	the u.s . common - sense means	the u.s . common - sense means
3283	the ukrainian bird flu epidemic	the ukrainian bird flu epidemic
3284	the us	the u.s .
3285	the us cdc reports	new cdc study
3286	the us cdc reports published trending news -	cdc data
3287	the us government	gov
3288	the vaxxed movie	man movie contagion
3289	the vaxxed movie looked story cdc scientist dr william thompson	the vaxxed movie looked story cdc scientist dr william thompson
3290	the verify team	authenticity videos
3291	the verify team tackling authenticity videos	authenticity videos
3292	the virologist	guan yi virologist
3293	the virus	virus
3294	the virus spreading china family sars closest one	a new virus spreading china
3295	the war drugs response crack epidemic	grew public housing crack epidemic
3296	the washington state man	the washington state man
3297	the whistleblower photo	the whistleblower photo
3298	the whistleblower photo tells all.trumpimpeachmenttrial ripeanut toonme	all.trumpimpeachmenttrial ripeanut toonme
3299	the whole vaccinate	the whole vaccinate
3300	the world	the world
3301	the world 's most dangerous pathogens	the world 's most dangerous pathogens
3302	the world 's most dangerous pathogens | zero hedge	the world 's most dangerous pathogens
3303	the world health organisation ’s emergency committee	a world health organization emergency committee
3304	the world health organization	world health organization
3305	the world health organization meeting today	global health
3306	the world health organization thursday	world health organization
3307	the wuhan china coronavirus news important	wuhan coronavirus
3308	the wuhan coronavirus	wuhan coronavirus
3309	the wuhan coronavirus ncov2019	suspected case wuhan coronavirus
3310	the wuhan coronavirus patient washington state	suspected case wuhan coronavirus
3311	the wuhan coronavirus politico	wuhan coronavirus
3312	the wuhan epidemic	patients infected wuhan
3313	the wuhan national biosafety laboratory	the wuhan national biosafety laboratory
3314	the wuhan outbreak	patients infected wuhan
3315	the wuhan virus	wuhan virus
3316	the wuhan virus startrekpicard same thing	wuhan virus
3317	the “ feminist ” choir video	the “ feminist ” choir video
3318	the “ feminist ” choir video i tweeted 2 days ago	the “ feminist ” choir video
3319	their basis	their basis
3320	there	there
3321	there 's coronavirus outbreak	coronavirus
3322	there 's glaring lack basic epidemiological evidence who 's getting infected	17 people infected 540
3323	there 's suspected case coronavirus killed 18 china	case coronavirus killed 17 china
3324	there ’s virus outbreak going there	there ’s virus outbreak going there
3325	thermal imaging scanners popped u	thermal imaging scanners popped u
3326	these	these
3327	these gun laws	these gun laws
3328	these people	people
3329	thevieevent	thevieevent
3330	they	they
3331	they ’re us fight opio	they ’re us fight opio
3332	thi	thi
3333	thing	thing
3334	things	things
3335	things worse youth thousands adult lives liv	things worse youth thousands adult lives liv
3336	think there s alot 500 people infected new virus	citizens think another virus affect much
3337	thinking destroying cdc samples russian	cdc
3338	third city china - ezhou - near huanggang - shut train stations	third city china - ezhou - near huanggang - shut train stations
3339	third opioid overdose deaths	combating opioid crisis one top priorities
3340	this	this
3341	this	this
3342	this [ new coronavirus 	coronavirus
3343	this administration	this administration
3344	this analysis	this analysis
3345	this cdc advice	all cdc recommended
3346	this china	china
3347	this chinese state edict	chinese authorities
3348	this coming heartmonth	this coming heartmonth
3349	this complications	this complications
3350	this conference	this conference
3351	this coronavirus epidemic	coronavirus
3352	this deadly coronavirus	deadly coronavirus
3353	this designed make vape execs	thc vape products
3354	this front page ccp ’s mouthpiece people‘s daily	this front page ccp ’s mouthpiece people‘s daily
3355	this going eu	this going eu
3356	this important point	the important thing
3357	this made day wuhan sari virus	this made day wuhan sari virus
3358	this national epidemic	this national epidemic
3359	this objectively disgusting soup	this objectively disgusting soup
3360	this outbreak stark reminder	outbreak
3361	this report	report
3362	this saturday pittsburgh p	this saturday pittsburgh p
3363	this scene	this scene
3364	this thread	this thread
3365	this transparency	this transparency
3366	this virus	virus
3367	this world	the world
3368	those	these
3369	thr	th
3370	threat	threat
3371	threats	guns
3372	three bat coronavi	three bat coronavi
3373	three chinese administrative regions remain free fro	3 chinese regions including tibet inner mongolia
3374	three chinese cities	chinese cities
3375	three cities	three cities
3376	three cities — home	three cities
3377	three programmes	three programmes
3378	throuple ” yuckiest thing	throuple ” yuckiest thing
3379	throuple ” yuckiest thing i ’ve recently learned turns bat shit crazy really thing	throuple ” yuckiest thing i ’ve recently learned turns bat shit crazy really thing
3380	thrusdaythoughts	thrusdaythoughts
3381	thrusdaythoughts getting screened cervical cancer	certain types cancer adults including cervical cancer
3382	thursday	thursday
3383	thursday 's paper	the front page people ’s daily
3384	thx china	thx china
3385	thy epidemic man	thy epidemic man
3386	thy epidemic man said ahab	thy epidemic man
3387	tickets	tickets
3388	tie entire us senate capt	new senate
3389	tie entire us senate capt send fact - finding miss	tie entire us senate capt send fact - finding miss
3390	time	time
3391	time stop outbreak	people ’s trust stop outbreak
3392	time talk opioid epidemic	opioid epidemic
3393	timing impeachment suddenly	2nd day arguments impeachment trial
3394	tiny room treated robot doctor	tiny room treated robot doctor
3395	tips	4 tips
3396	tips healthy pregnancy giving baby best start life	tips healthy pregnancy giving baby best start life
3397	to get emergency use authorization from fda for a diagnostic test to detect the wuhan coronavirus politico	coronavirus screening
3398	to halt coronavirus outbreak	contain coronavirus
3399	tobacco cessation	new report smoking cessation
3400	tokyo - nhk	tokyo - nhk
3401	too early consider coronavirus outbreak public health emergency international concern	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
3402	too early declare wuhan coronavirus public	too early declare wuhan coronavirus public
3403	too many cases	number cases 440
3404	too much toothpaste	too much toothpaste
3405	topping national fear agenda	topping national fear agenda
3406	topstories • senators dig democrats	senators
3407	torture cats	torture cats
3408	total 4 000 cases 2019-ncov	patient - level data 101 ncov cases
3409	total dolt	total dolt
3410	total numbe	total numbe
3411	tourists	travelers
3412	toward bloodpressure control	toward bloodpressure control
3413	town hall panel evening	town hall panel evening
3414	toxic	toxic
3415	track 26 500 people travelled wuhan	153 passengers wuhan their basis
3416	traditional chinese medicine midst	traditional chinese medicine midst
3417	train	train
3418	train	train
3419	train stations	the train station
3420	trains	public transport
3421	transmission rate new coronavirus accelerate hundreds millions chinese	wuhan coronavirus
3422	transportation	public transport
3423	transportation th	public transport
3424	travel advisory level	level 3 travel warning
3425	travel ban	travel ban
3426	travel ban wuhan tourists chinese government bans wuhan people leaving ci	assist wuhan china lockdown
3427	travel notice level 2	recent travel info
3428	travel restrictions	travel restrictions
3429	travel restrictions imposed wuhan surrounding municip	travel restrictions imposed wuhan surrounding municip
3430	travel to china	china ’s economy
3431	travelers	travelers
3432	travelers avoid nonessential travel wuhan china due ongoing outbreak respiratory	police city quarantined china wuhan coronavirus
3433	travelers parts china wuhan	man traveler china
3434	travelers should reconsider travel to china is 20 million people quarantined due deadly viral epidemic	beijing ’s response epidemic crisis
3435	travelers wuhan american airports	travelers wuhan american airports
3436	travellers	travelers
3437	travelling fever cough	travelling fever cough
3438	travelling 🔴 when something like	travelling 🔴 when something like
3439	trea	trea
3440	true wuhan woman mild fever symptoms	symptoms deadly wuhan coronavirus
3441	truly epidemic levels	epidemic level
3442	trump	trump
3443	trump 's conviction	trump 's conviction
3444	trump 's massive budget cuts cdc	di the cdc reportedly forced downsize close operations 39 countries 2019 due massive budget cuts
3445	trump admin	trump
3446	trump administration	this administration
3447	trump administration handle dippin ’ dots epidemic	trump administration handle dippin ’ dots epidemic
3448	trump administration minions republican party responsible coronavirus	trump administration minions republican party responsible coronavirus
3449	trump davos	trump davos
3450	trump gop succeed attack support needy depression addiction su	trump gop succeed attack support needy depression addiction su
3451	trump impeachment case	trump impeachment case
3452	trump weaponized ebola epidemic	ebola loves africans
3453	trust government i mind wear mask please come hong kong we	trust government i mind wear mask please come hong kong we
3454	trusts	trusts
3455	trusts china 's xi ultra deadly coronavirus us ' totally control '	trusts china 's xi ultra deadly coronavirus us ' totally control '
3456	truth about coronavirus outbreak	control coronavirus narrative
3457	truth about coronavirusoutbreak	coronavirusoutbreak
3458	truth coronavirus coronavirusoutbreak	coronavirusoutbreak
3459	truthful outbreak dead	outbreak
3460	trying keep every person nyc leaving midd imposing travel quarantine city size 11 million big deal	keep every person nyc leaving midd imposing travel quarantine city size 11 million big deal
3461	trying quit smoking	trying quit smoking
3462	tuesday first case	tuesday first case
3463	tuesday first case new coronavirus	coronavirus confirmed us case
3464	tulsi do n’t	tulsi do n’t
3465	tune	tune
3466	tweets	tweets
3467	tweets disinfo	tweets
3468	twisted supply c	twisted supply c
3469	twitter	tweets
3470	twittershorts	tweets
3471	two cases coronavirus	coronavirus confirmed us case
3472	two chinese medical workers hazardous material suits pulling patient suffering coronavi	two chinese medical workers hazardous material suits pulling patient suffering coronavi
3473	two chinese patients hospitali	most chinese doctors
3474	two cities	two cities
3475	two cities epicenter coronavirus outbreak	areas affected coronavirus
3476	two cities epicentre	two cities epicentre
3477	two cities lockdown	lock - down three cities
3478	two cities shut highly unusual attempt contain coronavirus	areas affected coronavirus
3479	two confirmed cases coronavirus gansu province	wuhan coronavirus
3480	two male chinese patients	most chinese doctors
3481	two male chinese patients tested positive wuhan virus	wuhan virus
3482	two more cities	two more cities
3483	two u.s . airports	two u.s . airports
3484	type 2	type 2
3485	type jobs highest suicide rates	highest suicide rates
3486	u	u
3487	u.s .	united states
3488	u.s . ' great shape ' wit	u.s . ' great shape ' wit
3489	u.s . 1 confirmed case	u.s . 1 confirmed case
3490	u.s . adph close communication cdc	u.s . adph close communication cdc
3491	u.s . airports	main airports aware situation
3492	u.s . cdc	cdc
3493	u.s . representative cosponsor	u.s . representative cosponsor
3494	u.s . researchers	u.s . researchers
3495	uighurs	uighurs
3496	uk - based universities	uk - based universities
3497	uk asking people ho	uk asking people ho
3498	umbrella corporation 401k	umbrella corporation 401k
3499	umichigannews .umichsph professor epidemiology emily martin martinepi	professor infectious diseases
3500	unconfirmed rumors	unconfirmed rumors
3501	undergraduate level	undergraduate level
3502	understaffed underequipped	understaffed underequipped
3503	unexpected headline day coronavirus outbreak china	wuhan coronavirus
3504	unhealthy food	unhealthy food
3505	united states	united states
3506	united states publichealth laboratory	united states publichealth laboratory
3507	united states th	united states
3508	unitedstates 🇺 🇸	unitedstates 🇺 🇸
3509	university student	university student
3510	unkno	unkno
3511	unknown virus	unknown virus
3512	unliking it	unliking it
3513	unpasteurized cheese	unpasteurized cheese
3514	unprecedented china	unprecedented china
3515	unprecedented threat foo	unprecedented threat foo
3516	unprecedented travel shutdown china	china lockdown
3517	unsuspecting vectors china virus	a new virus spreading china
3518	untreatable forms lyme	untreatable forms lyme
3519	unverified video - man hubei accent	unverified video - man hubei accent
3520	uofsc prc translation plan faith activity nutrition fan program th	uofsc prc translation plan faith activity nutrition fan program th
3521	up-	up-
3522	upcoming lunarnewyear cause reconsider transiting	upcoming lunarnewyear cause reconsider transiting
3523	update	update hubei
3524	update beijing	update beijing
3525	update coronavirus	coronavirus
3526	update digital bridge electronic case reporting implementation progress	update digital bridge electronic case reporting implementation progress
3527	update hubei	update hubei
3528	update nyc department health	health officials
3529	update officials	officials
3530	updates	update hubei
3531	upsetting	upsetting
3532	urgent coronavirus chinese telecom firms	wuhan coronavirus
3533	urumchi wuhan	urumchi wuhan
3534	us	us
3535	us 3 countries	countries
3536	us case	the first case usa
3537	us case b	the first case usa
3538	us case china coronavirus o’hare	wuhan coronavirus
3539	us case coronavirus 2019ncov seattle wa	suspected case 2019 novel coronavirus
3540	us cdc	cdc
3541	us cdc disease virus cdc	cover fact biolab world ’s hazardous viruses
3542	us companies	us
3543	us first confirmed case coronavirus new virus	coronavirus confirmed us case
3544	us first patient	us first patient
3545	us first patient reported washington state cdc	us first patient
3546	us get vaccine th	vaccines
3547	us health officials	health officials
3548	us here	us
3549	us hopeful ab	us hopeful ab
3550	us infectious epidemics	deadly epidemic flarin
3551	us know 2 too many	us know 2 too many
3552	us safer- responsible gunviolence epidemic	guns community end epidemic gun violence
3553	us superpac donors	us superpac donors
3554	us thailand south korea	vietnam
3555	usa cdc	cdc
3556	use	use
3557	use airplanes drop sort medicinal spray enti	airplanes drop sort medicinal spray enti
3558	use flavo	use flavo
3559	use rapid sequencing unders	use rapid sequencing unders
3560	use recombinant nanoparticle technology develop vaccine candidate combat virus	patented virus vaccine
3561	use wuhanpneumonia	use wuhanpneumonia
3562	useful	important
3563	useful tool combatting opioid epidemic	useful tool combatting opioid epidemic
3564	usual fare	usual fare
3565	uva 's dr . william petri coronavirus outbreak	coronavirus
3566	uwm	uwm
3567	vaccinated	vaccines
3568	vaccinating children autism .....	people stopped vaccinating children autism ..... kids dying v
3569	vaccination	vaccines
3570	vaccination is n’t needed	vaccination is n’t needed
3571	vaccine injury court	awareness vaccine injury epidemic
3572	vaccine th	vaccines
3573	vaccines	vaccines
3574	vaccines can cause autism - like symptoms - namely libey	a busy ped amt children i saw adverse vaccine reacti
3575	vaccines cause autism like symptoms	a busy ped amt children i saw adverse vaccine reacti
3576	vaccines novel coronavirus ncov-2019	suspected case 2019 novel coronavirus
3577	vaers	vaers
3578	various symptoms wuhan coronavirus	symptoms deadly wuhan coronavirus
3579	vast majority u.s . livestock	vast majority u.s . livestock
3580	venomous snakes	snakes
3581	victim coronavirusoutbreak	patient 0 coronavirusoutbreak
3582	victim coronavirusoutbreak collapsed middle intersection	coronavirusoutbreak
3583	victim deadly new coronavirus	deadly coronavirus
3584	video	video
3585	video chat group	video chat group
3586	video explaining th	video explaining th
3587	video footage	video
3588	video footage shared plane passengers	video footage shared plane passengers
3589	video illustrating	video explaining th
3590	video people	video
3591	video people fighting food	video
3592	video rep . lowey 's remarks 1604 - 2106 .	video rep . lowey 's remarks 1604 - 2106 .
3593	video wuhan	a video shared resident wuhan
3594	video wuhan china	a video shared resident wuhan
3595	videos	video
3596	videos coronavirus outbreak china	original source new coronavirus outbreak china
3597	videos pictures	video
3598	vietnam	vietnam
3599	vietnam confirms first case new coronavirus wuhan china	suspected case wuhan coronavirus
3600	vietnam ’s health ministry	health officials
3601	vigilance	attention
3602	violent crime	causes gun violence
3603	violent crime kills 10 000 women men children year	violent crime kills 10 000 women men children year
3604	viral	viral
3605	viral outbreak	virus outbreak
3606	viral outbreak preparedness	viral outbreak preparedness
3607	viral suppression synonymous uequalsu 100 % effective viral suppression powerful tool endhivepidemic	viral suppression synonymous uequalsu 100 % effective viral suppression powerful tool endhivepidemic
3608	viral transportation farms	human - mediated viral transportation farms repeated introd
3609	virginia lawmakers	virginia lawmakers
3610	virologist	guan yi virologist
3611	virtually one	virtually one
3612	virus	virus
3613	virus 2018	virus
3614	virus case china	a new virus spreading china
3615	virus crisis	virus
3616	virus disease	virus
3617	virus long unwieldy official name	virus long unwieldy official name
3618	virus minding business continent	virus
3619	virus outbreak	virus outbreak
3620	virus outbreak actually hit united states china	a new virus spreading china
3621	virus outbreak america	virus outbreak america
3622	virus spreading	virus
3623	virus spreading like wildfire wuhancoronavirus	wuhan virus
3624	viruses	virus
3625	viruses canada wuhan	wuhan virus
3626	viruses similar symptoms	viruses similar symptoms
3627	visit	travelers
3628	visit d.c . sites	visit d.c . sites
3629	visit healthcare provider	medical advice
3630	visit wuhan china stop animal markets touch animals handle animal products	visit wuhan china stop animal markets touch animals handle animal products
3631	visuals social media china wuhan train station	visuals social media china wuhan train station
3632	vital science	vital science
3633	vitamin folic acid	vitamin folic acid
3634	volunteers	donations
3635	voted charleston loophole	voted charleston loophole
3636	vulnerable sars - like epidemic	sars
3637	w shanghai alone alleg	w shanghai alone alleg
3638	wa state indeed meaning	wa state indeed meaning
3639	waiting cdc	cdc
3640	waiting cdc say millions dollars needed fight virus	authorities 2 smartly contain latest deadly outbreak nih cdc 2 find vaccine 2 defe
3641	wangyibo public service	wangyibo public service
3642	wangyibo public service msg coronavirus outbreak	wuhan coronavirus
3643	want go cdc army medical i name inevitable containment operatio	cdc measures containment eventuality spreads further
3644	warning si	warning si
3645	wars	wars
3646	wash hands handling food	washing hands 20 seconds
3647	washing hands 20 seconds	washing hands 20 seconds
3648	washington man 1st	the washington state man
3649	washington state	washington state
3650	washington state cdc	washington state cdc
3651	washington state federal officia	washington state
3652	washington state man diagnosed new coronavirus spreading	coronavirus case in seattle
3653	washington state secretary health john wiesman	washington state secretary health john wiesman
3654	watch 1 2 wuhan * unprecedented * lockdown slow	watch 1 2 wuhan * unprecedented * lockdown slow
3655	watch coronavirus outbreak	watch coronavirus outbreak
3656	watch level for travel to china	watch level for travel to china
3657	watching coronavirus outbreak interest	watch coronavirus outbreak
3658	way across large part africa worst outbreak places	way across large part africa worst outbreak places
3659	way united states	united states
3660	way us certain people i ’m popping	way us certain people i ’m popping
3661	ways	ways
3662	we	we
3663	we 're	we
3664	we 're taking another trip eagle land 's past @bham_museum	another trip eagle land 's past @bham_museum
3665	we 're worried 2019-ncov	2019-ncov
3666	we continuing coverage	coverage
3667	we d first highly - suspected case wuhancoronavirus	first case wuhancoronavirus
3668	we heartbroken	we
3669	we one case currently	we one case currently
3670	we ’re currently facing ‘ an epidemic anti - semitism ’ not ‘ seen decades ’	an epidemic anti - semitism
3671	we ’re ready	we
3672	wear	wear
3673	wear masks	wear masks
3674	wear masks 😷 flights amid accusations	wear masks 😷 flights amid accusations
3675	weatherpicofday ground - end strong rope - shaped tornado	weatherpicofday ground - end strong rope - shaped tornado
3676	wechat unconfirmed sources	wechat unconfirmed sources
3677	wedn	wife
3678	wednesday	thursday
3679	wednesday actively monitoring 16 people came close contac	wednesday actively monitoring 16 people came close contac
3680	week	week
3681	weibo	weibo
3682	weird cdc	cdc
3683	well	it
3684	well - known sars expert	sars
3685	well wishes	well wishes
3686	well ” @realdonaldtrump praises @cdcgov first case	well ” @realdonaldtrump praises @cdcgov first case
3687	wenzhou	wenzhou
3688	west virginia hard - hit opioid epidemic	opioid epidemic
3689	west virginia schools	a bay area school district
3690	western	western
3691	wevapewevote	we
3692	we’re	we
3693	what	what
3694	what cancelling policy	what cancelling policy
3695	what china muslims sinkiang coming back haunt mainland	what china muslims sinkiang coming back haunt mainland
3696	what coronavirus possible issue americans near future joe alton md	fears coronavirus outbreak
3697	what eat noth	what eat noth
3698	what happened you trump cult fever	what happened you trump cult fever
3699	what nigerian government	what nigerian government
3700	what opioid - related legislation state proposing year in missouri hb 1667	what opioid - related legislation state proposing year in missouri hb 1667
3701	what started unknown virus last month	what started unknown virus last month
3702	what symptoms	signs symptoms
3703	what ’s bottom line 3 questions wuhan	what ’s bottom line 3 questions wuhan
3704	what ’s diff flu colds	dyk flu virus
3705	what ’s done	what ’s done
3706	what ’s outbreak viruses	fast - developing outbreak
3707	what ’s reported experts	what ’s reported experts
3708	what ’s reported experts claim severity china virus misreported the true sc	severity china virus misreported the true sc
3709	what ’s shots	what ’s shots
3710	whether 2019-ncov represents	2019-ncov
3711	whether 2019-ncov represents @drtedros the emergency committee new coronavirus 2019-ncov agreed decision reconvene tomorro	suspected case 2019 novel coronavirus
3712	whether coronavirus outbreak constitutes global health crisis	' too early ' declare coronavirus outbreak international emergency coronavirusoutbreak
3713	whether coronavirus wuhan deeme	wuhan coronavirus
3714	white house	white house
3715	whn	whn
3716	who	who
3717	who convened first emergency committee meeting	who convened first emergency committee meeting
